a52dec 0.7.4-10
aalib 1.4rc5-13
accounts-qml-module 0.7-2
accountsservice 0.6.54+2+g204a4ab-2
acl 2.2.53-1
acpi 1.7-2
acpid 2.0.31-1
adapta-maia-theme 3.94.0.149-1
adwaita-icon-theme 3.30.1-1
albert 0.16.1-1
alsa-firmware 1.0.29-2
alsa-lib 1.1.8-1
alsa-plugins 1.1.8-1
alsa-utils 1.1.8-1
anbox-image 1:2018.07.19-1
android-tools 9.0.0_r30-2
android-udev 20190114-1
anydesk 4.0.1-1
aom 1.0.0-1
apparmor 2.13.2-2
appstream-glib 0.7.15-1
apr 1.6.5-1
apr-util 1.6.1-5
arandr 0.1.9-3
archlinux-appstream-data 20190226-1
archlinux-keyring 20190123-2
argon2 20171227-3
aribb24 1.0.3-2
aspell 0.60.7rc1-1
at-spi2-atk 2.30.1-1
at-spi2-core 2.30.1-1
atk 2.30.0-1
atkmm 2.28.0-1
attica 5.56.0-1
attr 2.4.48-1
audacious 3.10.1-1
audacious-plugins 3.10.1-2
audit 2.8.4-3
autoconf 2.69-5
autoconf-archive 1:2019.01.06-1
automake 1.16.1-1
avahi 0.7+18+g1b5f401-1
b43-fwcutter 019-2
babl 0.1.60+11+g6b032aa-1
bamf 0.5.4-1
bash 5.0.0-1
bashrc-manjaro 5.0.0-1
bastet 0.43.2-3
bc 1.07.1-3
binutils 2.31.1-4
bison 3.2-1
blas 3.8.0-2
blueman 2.0.8-2
bluez 5.50-6
bluez-libs 5.50-6
boost 1.69.0-1
boost-libs 1.69.0-1
brotli 1.0.7-1
btrfs-progs 4.20.2-1
bubblewrap 0.3.1-1
bzip2 1.0.6-8
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.42.1-1
ca-certificates-utils 20181109-1
cairo 1.16.0-2
cairomm 1.12.2-3
cantarell-fonts 1:0.111-1
catfish 1.4.7-1
cdparanoia 10.2-7
celt 0.11.3-3
chromaprint 1.4.3-2
chromium 72.0.3626.121-1
cifs-utils 6.8-2
ckbcomp 1.175-1
clucene 2.3.3.4-10
clutter 1.26.2-2
cmake 3.13.4-1
cmark-gfm 0.28.3.gfm.19-1
cmatrix 1.2-1
code 1.32.1-1
cogl 1.22.2+22+ge023a361-1
colord 1.4.4-1
compton 5.1-1
confuse 3.2.2-1
conky 1.11.3-1
coreutils 8.30-1
cowsay 3.04-1
cpupower 5.0-1
cracklib 2.9.6-3
crda 4.14-2
cronie 1.5.2-1
cryptsetup 2.1.0-1.1
ctpl 0.3.4-3
cups 2.2.10-2
cups-filters 1.22.1-1
cups-pdf 3.0.1-4
cups-pk-helper 0.2.6-3
curl 7.64.0-9
db 5.3.28-4
dbus 1.12.12-1
dbus-glib 0.110-1
dconf 0.30.1-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.183-2
dhclient 4.4.1-4
dhcpcd 7.0.8-1
dialog 1:1.3_20190211-1
diffutils 3.7-1
ding-libs 0.6.1-2
discord 0.0.8-2
dmenu 4.9-1.1
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-11
dnsmasq 2.80-3
dnssec-anchors 20181003-1
docbook-xml 4.5-8
docbook-xsl 1.79.2-5
dosfstools 4.1-2
double-conversion 3.1.1-1
e2fsprogs 1.44.6-1
ecryptfs-utils 111-3
efibootmgr 16-1
efivar 35-1
electron 3.1.6-1
electron2 2.0.18-1
elementary-xfce-icons 0.13.1-1
enchant 2.2.3-2
engrampa 1.20.2-1
etcher 1.4.9-1
exfat-utils 1.3.0-1
exiv2 0.26-2
exo-gtk3 0.12.3-1
expat 2.2.6-1
f2fs-tools 1.12.0-2
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.23-1
farstream 0.2.8-2
feh 3.1.3-1
ffmpeg 1:4.1.1-2
ffmpegthumbnailer 2.2.0-2
fftw 3.3.8-1
file 5.36-1
file-roller 3.30.1-1
filesystem 2018.9-1
findutils 4.6.0-4
firefox 65.0.2-1
flac 1.3.2-2
flashplugin 32.0.0.142-1
flatpak 1.2.3-1
flex 2.6.4-2
fluxgui 1.1.10-1
fontconfig 2:2.13.1+12+g5f5ec56-1
foomatic-db-engine 4:4.0.13-1
freeglut 3.0.0-2
freerdp 1:2.0.0_rc4-3
freetype2 2.9.1-1
fribidi 1.0.5-1
fuse-common 3.4.1-1
fuse2 2.9.9-1
fuse3 3.4.1-1
galculator-gtk2 2.1.4-4
gamin 0.1.10-9
garcon-gtk3 0.6.1-4
gawk 4.2.1-2
gc 7.6.8-1
gcab 1.2-1
gcc 8.2.1+20181127-1
gcc-libs 8.2.1+20181127-1
gcolor2 0.4-8
gconf 3.2.6+11+g07808097-4
gcr 3.28.1-1
gd 2.2.5-1
gdbm 1.18.1-2
gdk-pixbuf2 2.38.1-1
geany 1.34.1-1
geany-plugins 1.34-1
gegl 0.4.12+62+gd2302106e-1
geoclue 2.5.2-3
geocode-glib 3.26.0-1
gettext 0.19.8.1-3
ghc-libs 8.6.3-1
ghostscript 9.26-2
giblib 1.2.4-7
giflib 5.1.4-2
gimp 2.10.8-1
git 2.21.0-1
gksu-polkit 0.0.3-1
glew 2.1.0-1
glib-networking 2.58.0-1
glib2 2.58.3-1
glib2-docs 2.58.3-1
glibc 2.28-5
glibmm 2.58.0-1
glm 0.9.9.3-1
glslang 7.10.2984-1
glu 9.0.0-5
gmp 6.1.2-2
gnome-autoar 0.2.3-1
gnome-common 3.18.0-3
gnome-desktop 1:3.30.2.1-1
gnome-doc-utils 0.20.10+16+gc03cc09-2
gnome-font-viewer 3.30.0-1
gnome-icon-theme 3.12.0-5
gnome-icon-theme-symbolic 3.12.0-5
gnome-keyring 1:3.28.2-1
gnome-menus 3.13.3+30+g510ef1c-1
gnome-mime-data 2.18.0-8
gnome-system-tools 3.0.0-4
gnome-themes-extra 3.28-1
gnome-vfs-nosmb 2.24.4-9
gnupg 2.2.13-1
gnutls 3.6.6-3
go 2:1.12-1
gobject-introspection-runtime 1.58.3-1
gotop 3.0.0-2
gparted 0.33.0-1
gpgme 1.12.0-2
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
graphene 1.8.6-1
graphite 1:1.3.13-1
graphviz 2.40.1-14
grep 3.3-1
groff 1.22.3-8
grub 2.03.4-1
grub-theme-manjaro 18.0-1
gsettings-desktop-schemas 3.28.1-1
gsfonts 20180524-2
gsm 1.0.18-1
gssdp 1.0.3-1
gssproxy 0.8.0-1
gst-libav 1.14.4-1
gst-plugins-bad 1.14.4-8
gst-plugins-base 1.14.4-1
gst-plugins-base-libs 1.14.4-1
gst-plugins-good 1.14.4-2
gst-plugins-ugly 1.14.4-1
gstreamer 1.14.4-1
gtest 1.8.1-3
gtk-doc 1.29-1
gtk-engine-murrine 0.98.2-3
gtk-engines 2.21.0-4
gtk-update-icon-cache 3.24.5-1
gtk2 2.24.32-1
gtk3-classic 3.24.5-1
gtkglext 1.2.0-11
gtkmm 1:2.24.5-3
gtkmm3 3.24.0-1
gtksourceview3 3.24.9-2
gtkspell 2.0.16-7
gtkspell3 3.0.10-1
gts 0.7.6-5
gufw 18.10.0-1
guile 2.2.4-2
gulp 4.0.0-1
gupnp 1.0.3-1
gupnp-igd 0.2.5-1
gvfs 1.38.2-1
gvfs-afc 1.38.2-1
gvfs-gphoto2 1.38.2-1
gvfs-mtp 1.38.2-1
gvfs-nfs 1.38.2-1
gvfs-smb 1.38.2-1
gzip 1.10-1
harfbuzz 2.3.1-2
harfbuzz-icu 2.3.1-2
haskell-aeson 1.4.2.0-10
haskell-aeson-pretty 0.8.7-53
haskell-ansi-terminal 0.8.2-4
haskell-ansi-wl-pprint 0.6.8.2-15
haskell-asn1-encoding 0.9.5-79
haskell-asn1-parse 0.9.4-90
haskell-asn1-types 0.3.2-86
haskell-async 2.2.1-5
haskell-attoparsec 0.13.2.2-37
haskell-base-compat 0.10.5-3
haskell-base-unicode-symbols 0.2.3-2
haskell-base64-bytestring 1.0.0.2-3
haskell-basement 0.0.10-1
haskell-bitarray 0.0.1.1-10
haskell-blaze-builder 0.4.1.0-6
haskell-blaze-html 0.9.1.1-15
haskell-blaze-markup 0.8.2.2-9
haskell-byteable 0.1.1-12
haskell-case-insensitive 1.2.0.11-6
haskell-cereal 0.5.8.0-1
haskell-cmark-gfm 0.1.6-1
haskell-cmdargs 0.10.20-6
haskell-colour 2.3.4-15
haskell-connection 0.2.8-113
haskell-cookie 0.4.4-6
haskell-cryptonite 0.25-32
haskell-data-accessor 0.2.2.8-4
haskell-data-accessor-template 0.2.1.16-5
haskell-data-accessor-transformers 0.2.1.7-12
haskell-data-default 0.7.1.1-19
haskell-data-default-class 0.1.2.0-11
haskell-data-default-instances-containers 0.0.1-23
haskell-data-default-instances-dlist 0.0.1-32
haskell-data-default-instances-old-locale 0.0.1-23
haskell-digest 0.0.1.2-12
haskell-dlist 0.8.0.5-5
haskell-doctemplates 0.2.2.1-58
haskell-erf 2.0.0.0-11
haskell-exceptions 0.10.0-11
haskell-gitrev 1.3.1-12
haskell-glob 0.10.0-2
haskell-haddock-library 1.7.0-16
haskell-hashable 1.2.7.0-6
haskell-hourglass 0.2.12-11
haskell-hslua 1.0.2-3
haskell-hslua-module-text 0.2.0-14
haskell-hsyaml 0.1.1.3-1
haskell-http 4000.3.12-123
haskell-http-client 0.6.2-1
haskell-http-client-tls 0.3.5.3-100
haskell-http-types 0.12.3-1
haskell-hxt 9.3.1.16-14
haskell-hxt-charproperties 9.2.0.1-10
haskell-hxt-regex-xmlschema 9.2.0.3-14
haskell-hxt-unicode 9.0.2.4-10
haskell-integer-logarithms 1.0.2.2-4
haskell-ipynb 0.1-6
haskell-juicypixels 3.3.3-3
haskell-lexer 1.0.2-4
haskell-memory 0.14.18-12
haskell-mime-types 0.1.0.9-1
haskell-network 2.8.0.0-2
haskell-network-uri 2.6.1.0-16
haskell-old-locale 1.0.0.7-17
haskell-old-time 1.1.0.3-17
haskell-open-browser 0.2.1.0-12
haskell-optparse-applicative 0.14.3.0-6
haskell-pandoc-types 1.17.5.4-13
haskell-pem 0.2.4-38
haskell-pretty-show 1.9.5-1
haskell-primitive 0.6.4.0-4
haskell-quickcheck 2.12.6.1-1
haskell-random 1.1-15
haskell-regex-base 0.93.2-36
haskell-regex-pcre 0.94.4-12
haskell-roman-numerals 0.5.1.5-16
haskell-safe 0.3.17-5
haskell-scientific 0.3.6.2-10
haskell-sha 1.6.4.4-6
haskell-skylighting 0.7.7-1
haskell-skylighting-core 0.7.7-1
haskell-socks 0.5.6-47
haskell-split 0.2.3.3-9
haskell-streaming-commons 0.2.1.0-18
haskell-syb 0.7-9
haskell-tagged 0.8.6-4
haskell-tagsoup 0.14.7-5
haskell-temporary 1.3-19
haskell-texmath 0.11.2.2-1
haskell-tf-random 0.5-22
haskell-th-abstraction 0.2.11.0-1
haskell-time-locale-compat 0.1.1.5-4
haskell-tls 1.4.1-58
haskell-transformers-compat 0.6.2-5
haskell-unicode-transforms 0.3.5-2
haskell-unordered-containers 0.2.10.0-2
haskell-utf8-string 1.0.1.1-11
haskell-utility-ht 0.0.14-10
haskell-uuid-types 1.0.3-18
haskell-vector 0.12.0.2-4
haskell-x509 1.7.5-7
haskell-x509-store 1.6.7-6
haskell-x509-system 1.6.6-74
haskell-x509-validation 1.6.11-6
haskell-xml 1.3.14-17
haskell-zip-archive 0.4-2
haskell-zlib 0.6.2-6
haveged 1.9.4-3
hdparm 9.58-1
hexchat 2.14.2-1
hicolor-icon-theme 0.17-1
hplip 1:3.19.1-1
hspell 1.4-1
htop 2.2.0-2
http-parser 2.9.0-1
hunspell 1.7.0-2
hunspell-en_US 2018.04.16-5
hwids 20180917-1
hwinfo 21.59-1
hyphen 2.8.8-2
i3-gaps 4.16.1-1
i3blocks 1.4-6
i3lock 2.11.1-1
i3status 2.12-2
iana-etc 20190228-1
icu 63.1-2
ijs 0.35-2
illyria-wallpaper 1.4-1
ilmbase 2.3.0-1
imagemagick 7.0.8.33-1
imlib2 1.5.1-1
inetutils 1.9.4-7
iniparser 4.1-1
intel-tbb 2019.3-1
intel-ucode 20180807.a-1
intltool 0.51.0-4
inxi 3.0.32-1
iproute2 4.20.0-1
iptables 1:1.8.2-1
iputils 20180629.f6aac8d-4
ipw2100-fw 1.3-9
ipw2200-fw 3.1-7
iso-codes 4.2-1
itstool 1:2.0.2+5+g676f3f7-1
iw 5.0.1-1
jack 0.125.0-7
jansson 2.12-1
jasper 2.0.14-1
java-environment-common 3-1
java-runtime-common 3-1
jbig2dec 0.15-1
jdk-openjdk 11.0.2.u7-1
jdk8-openjdk 8.u202-1
jfsutils 1.1.15-6
jre-openjdk 11.0.2.u7-1
jre-openjdk-headless 11.0.2.u7-1
jre8-openjdk 8.u202-1
jre8-openjdk-headless 8.u202-1
js52 52.9.0-2
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.8.4-2
kaccounts-integration 18.12.3-1
